ID tabla;Nombre de la tabla;Descripción de la tabla;ID variable;Nombre de la variable o la columna;Descripción de la variable o la columna;Tipo de llave que corresponde a la variable;Tabla a la que hace referencia la variable (si la opción de la columna anterior es igual a FK);Condición de la variable (indique si es o no campo obligatorio);Tipo de dato;Longitud de la variable;Dominios (categorías, valores permitidos);"Regla de validación
 (en lenguaje natural)";Otro tipo de chequeos;Tipo de variable;Uso de la variable;Origen de la variable
CAP_B;DBF_ENCV_590_1;A. IDENTIFICACIÓN Y B. DATOS DE LA VIVIENDA;P01_B1;DIRECTORIO;DIRECTORIO;Llave Primaria (PK);;Sí;NUMBER;22;;1. Siempre debe tener información;;Recolectada/Acopiada;Publicación no anonimizada;Encuesta Nacional de Calidad de Vida (ECV)
CAP_B;DBF_ENCV_590_1;A. IDENTIFICACIÓN Y B. DATOS DE LA VIVIENDA;P02_B1;SECUENCIA_ENCUESTA;SECUENCIA_ENCUESTA;No aplica (NA);;Sí;NUMBER;22;;1. Siempre debe tener información y debe ser 1;;Recolectada/Acopiada;Publicación no anonimizada;Encuesta Nacional de Calidad de Vida (ECV)
CAP_B;DBF_ENCV_590_1;A. IDENTIFICACIÓN Y B. DATOS DE LA VIVIENDA;P03_B1;SECUENCIA_P;SECUENCIA_P;No aplica (NA);;Sí;NUMBER;22;;1. Siempre debe tener información y debe ser 1;;Recolectada/Acopiada;Publicación no anonimizada;Encuesta Nacional de Calidad de Vida (ECV)
CAP_B;DBF_ENCV_590_1;A. IDENTIFICACIÓN Y B. DATOS DE LA VIVIENDA;P04_B1;ORDEN;ORDEN;No aplica (NA);;Sí;NUMBER;22;;1. Siempre debe tener información y debe ser 1;;Recolectada/Acopiada;Publicación no anonimizada;Encuesta Nacional de Calidad de Vida (ECV)
CAP_B;DBF_ENCV_590_1;A. IDENTIFICACIÓN Y B. DATOS DE LA VIVIENDA;P05_B1;P1_DEPARTAMENTO;Código del departamento;No aplica (NA);;Sí;VARCHAR2;2;;;;Identificación;Publicación no anonimizada;Encuesta Nacional de Calidad de Vida (ECV)
CAP_B;DBF_ENCV_590_1;A. IDENTIFICACIÓN Y B. DATOS DE LA VIVIENDA;P05_B1;P1_MUNICIPIO;Código del municipio;No aplica (NA);;Sí;VARCHAR2;3;;;;Identificación;Publicación no anonimizada;Encuesta Nacional de Calidad de Vida (ECV)
CAP_B;DBF_ENCV_590_1;A. IDENTIFICACIÓN Y B. DATOS DE LA VIVIENDA;P05_B1;REGION;Región ;No aplica (NA);;Sí;NUMBER;8;"1. Caribe
2. Oriental
3. Central
4. Pacífica
5. Bogotá
6. Antioquia
7. Valle del Cauca
8. San Andrés
9. Orinoquía - Amazonía";;;Identificación;Publicación no anonimizada;Encuesta Nacional de Calidad de Vida (ECV)
CAP_B;DBF_ENCV_590_1;A. IDENTIFICACIÓN Y B. DATOS DE LA VIVIENDA;P05_B1;FEX_C;Factor de expansión ;No aplica (NA);;Sí;NUMBER;22;;;;Nueva;Publicación no anonimizada;Encuesta Nacional de Calidad de Vida (ECV)
CAP_B;DBF_ENCV_590_1;A. IDENTIFICACIÓN Y B. DATOS DE LA VIVIENDA;P05_B1;CANT_HOG_COMPLETOS;Cantidad de hogares completos;No aplica (NA);;Sí;NUMBER;8;;;;Recolectada/Acopiada;Publicación no anonimizada;Encuesta Nacional de Calidad de Vida (ECV)
CAP_B;DBF_ENCV_590_1;A. IDENTIFICACIÓN Y B. DATOS DE LA VIVIENDA;P05_B1;CANT_HOGARES_VIVIENDA;Cantidad de viviendas en el hogar ;No aplica (NA);;Sí;NUMBER;8;;;;Recolectada/Acopiada;Publicación no anonimizada;Encuesta Nacional de Calidad de Vida (ECV)
CAP_B;DBF_ENCV_590_1;A. IDENTIFICACIÓN Y B. DATOS DE LA VIVIENDA;P07_B1;Clase;Clase;No aplica (NA);;Sí;NUMBER;22;"1 . Cabecera
2.  Centros poblados, inspección de policía o corregimientos y área rural dispera";"1. Siempre debe tener información.
2, Debe aceptar valores entre 1 y 3";;Identificación;Publicación anonimizada;Encuesta Nacional de Calidad de Vida (ECV)
CAP_B;DBF_ENCV_590_1;A. IDENTIFICACIÓN Y B. DATOS DE LA VIVIENDA;P41_B1;P2102;1. La vía de acceso a la edificación es: ;No aplica (NA);;No;NUMBER;22;"1. Sendero en camino o tierra o acceso fluvial
2. Peatonal construida
3. Vehicular destapada
4.Vehicular pavimentada";"1. Debe tener información cuando P4091=1
2. Debe aceptar valores entre 1 y 4";;Recolectada/Acopiada;Publicación no anonimizada;Encuesta Nacional de Calidad de Vida (ECV)
CAP_B;DBF_ENCV_590_1;A. IDENTIFICACIÓN Y B. DATOS DE LA VIVIENDA;P42_B1;P3155;2. ¿Cuál es el estado de la vía?;No aplica (NA);;No;NUMBER;22;"1. Bueno
2. Regular
3. Malo";"1. Debe tener información cuando P2102!= 1 
2. Debe aceptar valores entre 1 y 3";;Recolectada/Acopiada;Publicación no anonimizada;Encuesta Nacional de Calidad de Vida (ECV)
CAP_B;DBF_ENCV_590_1;A. IDENTIFICACIÓN Y B. DATOS DE LA VIVIENDA;P43_B1;P3156;3. ¿La edificación donde está ubicada la vivienda tiene andén?;No aplica (NA);;No;NUMBER;22;"1. Sí
2. No";"1. Debe tener información cuando Clase=1 y P4091=1
2. Debe aceptar valores 1 ó 2";;Recolectada/Acopiada;Publicación no anonimizada;Encuesta Nacional de Calidad de Vida (ECV)
CAP_B;DBF_ENCV_590_1;A. IDENTIFICACIÓN Y B. DATOS DE LA VIVIENDA;P44_B1;P1070;4. Tipo de vivienda;No aplica (NA);;No;NUMBER;22;"1. Casa
2. Apartamento
3. Cuarto (s)
4. Vivienda tradicional indígena
5. Otro (carpa, contenedor,  vagón, embarcación, cueva, refugio natural, etc.)";"1. Debe tener información cuando P4091=1
2. Debe aceptar valores entre 1 y 5";;Recolectada/Acopiada;Publicación no anonimizada;Encuesta Nacional de Calidad de Vida (ECV)
CAP_B;DBF_ENCV_590_1;A. IDENTIFICACIÓN Y B. DATOS DE LA VIVIENDA;P45_B2;P4005;5. Material predominante de las paredes exteriores ;No aplica (NA);;No;NUMBER;22;"1. Bloque, ladrillo, piedra, madera pulida
2. Tapia pisada, adobe
3. Bahareque revocado
4. Bahareque sin revocar
5. Madera burda, tabla, tablón
6. Material prefabricado
7. Guadua
8. Caña, esterilla, otro vegetal
9. Zinc, tela, lona, cartón, latas, desechos, plástico
10. Sin paredes";"1. Debe tener información cuando P4091=1
2. Debe aceptar valores entre 1 y 10";;Recolectada/Acopiada;Publicación no anonimizada;Encuesta Nacional de Calidad de Vida (ECV)
