region,departamento,hogares,prevalencia_moderada_grave_pct,prevalencia_grave_pct
Pacífica,CHOCÓ,2321,56.76,17.86
Caribe,SUCRE,2454,50.09,11.3
Caribe,LA GUAJIRA,2791,47.76,16.39
Orinoquía - Amazonía,VICHADA,2149,41.83,9.72
Caribe,CÓRDOBA,2601,40.22,5.93
Caribe,MAGDALENA,2257,36.11,7.41
Caribe,BOLÍVAR,3065,33.42,5.82
Caribe,ATLÁNTICO,2620,32.97,6.17
Caribe,CESAR,2447,31.31,6.56
Pacífica,CAUCA,3123,31.16,4.39
Pacífica,NARIÑO,2908,31.1,3.92
Orinoquía - Amazonía,PUTUMAYO,2705,27.77,1.92
Orinoquía - Amazonía,GUAVIARE,2427,27.06,4.95
Orinoquía - Amazonía,GUAINÍA,1753,22.63,3.32
Orinoquía - Amazonía,VAUPÉS,1511,22.31,1.86
Central,HUILA,2714,22.08,1.96
Oriental,NORTE DE SANTANDER,2524,21.46,2.62
Central,CAQUETÁ,2638,20.13,1.52
Antioquia,ANTIOQUIA,3684,20.1,3.72
Central,TOLIMA,2952,20.06,1.73
Orinoquía - Amazonía,AMAZONAS,1740,19.29,4.16
Oriental,META,2893,18.96,2.58
Central,QUINDÍO,2776,17.53,2.33
Orinoquía - Amazonía,CASANARE,2399,17.5,1.16
Oriental,BOYACÁ,3172,16.4,1.1
Valle del Cauca,VALLE DEL CAUCA,3169,14.97,1.55
Oriental,CUNDINAMARCA,3650,13.08,1.74
Oriental,SANTANDER,3079,12.45,0.76
Orinoquía - Amazonía,ARAUCA,2517,11.01,1.1
Central,RISARALDA,2823,10.26,1.49
Bogotá,"BOGOTÁ, D.C.",1828,9.62,1.36
Central,CALDAS,2712,9.24,1.28
Oriental,"BOGOTÁ, D.C.",1060,9.16,0.51
San Andrés,"ARCHIPIÉLAGO DE SAN ANDRÉS, PROVIDENCIA Y SANTA CATALINA",880,5.21,0.59
