severidad,numero_estrategias,hogares,distribucion_ponderada_pct
Inseguridad grave,0,3507,59.22
Inseguridad grave,1,1188,27.48
Inseguridad grave,2,416,9.03
Inseguridad grave,3,105,3.32
Inseguridad grave,4,18,0.71
Inseguridad grave,5,12,0.21
Inseguridad grave,6,1,0.02
Inseguridad leve,0,22311,81.01
Inseguridad leve,1,3314,14.19
Inseguridad leve,2,820,3.46
Inseguridad leve,3,219,0.88
Inseguridad leve,4,56,0.26
Inseguridad leve,5,27,0.13
Inseguridad leve,6,9,0.06
Inseguridad leve,7,1,0.0
Inseguridad moderada,0,9949,68.68
Inseguridad moderada,1,2476,21.43
Inseguridad moderada,2,768,6.65
Inseguridad moderada,3,222,1.98
Inseguridad moderada,4,67,0.82
Inseguridad moderada,5,20,0.24
Inseguridad moderada,6,7,0.11
Inseguridad moderada,7,5,0.05
Inseguridad moderada,8,2,0.04
Seguridad alimentaria,0,37779,92.13
Seguridad alimentaria,1,2447,6.67
Seguridad alimentaria,2,448,0.9
Seguridad alimentaria,3,104,0.18
Seguridad alimentaria,4,26,0.05
Seguridad alimentaria,5,15,0.05
Seguridad alimentaria,6,2,0.01
Seguridad alimentaria,13,1,0.0
Sin dato,0,579,80.37
Sin dato,1,101,14.65
Sin dato,2,28,4.24
Sin dato,3,7,0.45
Sin dato,4,3,0.28
